Scientific Name,Common Name,Family,Taxonomic Group
Apus apus,Common Swift,Apodidae,Birds
Eurystomus orientalis,Eastern Broad-Billed Roller,Coraciidae,Birds
Calidris minuta,Little Stint,Scolopacidae,Birds
Saxicoloides fulicatus,Indian Robin,Muscicapidae,Birds
Falco tinnunculus,Common Kestrel,Falconidae,Birds
Abroscopus schisticeps,Black-Faced Flycatcher-Warbler,Sylviidae,Birds
Certhia nipalensis,Rusty-Flanked Treecreeper,Certhiidae,Birds
Aviceda jerdoni,Jerdon's Baza,Accipitridae,Birds
Platalea leucorodia,Eurasian Spoonbill,Threskiornithidae,Birds
Garrulax caerulatus,Grey-Sided Laughingthrush,Timaliidae,Birds
Picumnus innominatus,Speckled Piculet,Picidae,Birds
Asio flammeus,Short-Eared Owl,Strigidae,Birds
Gallinago solitaria,Solitary Snipe,Scolopacidae,Birds
Anas poecilorhyncha,Spot-Billed Duck,Anatidae,Birds
Anthus rubescens,Buff-Bellied Pipit,Motacillidae,Birds
Cinclidium frontale,Blue-Fronted Callene,Muscicapidae,Birds
Sterna aurantia,Indian River Tern,Laridae,Birds
Bradypterus luteoventris,Brown Bush-Warbler,Sylviidae,Birds
Luscinia calliope,Siberian Rubythroat,Muscicapidae,Birds
Cercomela fusca,Brown Rockchat,Muscicapidae,Birds
Sitta leucopsis,White-Cheeked Nuthatch,Sittidae,Birds
Dendrocopos canicapillus,Grey-Capped Woodpecker,Picidae,Birds
Cuculus sparverioides,Large Hawk-Cuckoo,Cuculidae,Birds
Anthus hodgsoni,Olive-Backed Pipit,Motacillidae,Birds
Delichon urbicum,Northern House Martin,Hirundinidae,Birds
Butastur teesa,White-Eyed Buzzard,Accipitridae,Birds
Egretta garzetta,Mascarene Reef-Egret,Ardeidae,Birds
Eumyias thalassinus,Verditer Flycatcher,Muscicapidae,Birds
Garrulax albogularis,White-Throated Laughingthrush,Timaliidae,Birds
Phoenicurus erythrogastrus,Güldenstädt's Redstart,Muscicapidae,Birds
Cyornis rubeculoides,Blue-Throated Flycatcher,Muscicapidae,Birds
Lonchura punctulata,Nutmeg Munia,Estrildidae,Birds
Zoothera dixoni,Long-Tailed Thrush,Turdidae,Birds
Aethopyga gouldiae,Gould's Sunbird,Nectariniidae,Birds
Luscinia pectoralis,White-Tailed Rubythroat,Muscicapidae,Birds
Lanius schach,Long-Tailed Shrike,Laniidae,Birds
Anas penelope,Eurasian Wigeon,Anatidae,Birds
Urocissa flavirostris,Yellow-Billed Blue Magpie,Corvidae,Birds
Saxicola torquatus,Common Stonechat,Muscicapidae,Birds
Anthus godlewskii,Blyth's Pipit,Motacillidae,Birds
Pericrocotus brevirostris,Short-Billed Minivet,Campephagidae,Birds
Metopidius indicus,Bronze-Winged Jacana,Jacanidae,Birds
Lanius meridionalis,Southern Grey Shrike,Laniidae,Birds
Treron sphenurus,Wedge Tailed Green Pigeon,Columbidae,Birds
Burhinus oedicnemus,Stone-Curlew,Burhinidae,Birds
Tichodroma muraria,Wallcreeper,Sittidae,Birds
Pluvialis fulva,Pacific Golden Plover,Charadriidae,Birds
Turdoides caudata,Common Babbler,Timaliidae,Birds
Vanellus indicus,Red-Wattled Lapwing,Charadriidae,Birds
Casmerodius albus,Great Egret,Ardeidae,Birds
Cettia brunnescens,Hume's Bush Warbler,Sylviidae,Birds
Phylloscopus maculipennis,Grey-Faced Warbler,Sylviidae,Birds
Cochoa viridis,Green Cochoa,Turdidae,Birds
Brachypteryx hyperythra,Rusty-Bellied Shortwing,Turdidae,Birds
Scolopax rusticola,Woodcock,Scolopacidae,Birds
Sylviparus modestus,Yellow-Browed Tit,Paridae,Birds
Nucifraga caryocatactes,Spotted Nutcracker,Corvidae,Birds
Anas querquedula,Garganey,Anatidae,Birds
Bradypterus tacsanowskius,Chinese Bush-Warbler,Sylviidae,Birds
Ploceus manyar,Streaked Weaver,Ploceidae,Birds
Prunella collaris,Alpine Accentor,Prunellidae,Birds
Sturnus pagodarum,Brahminy Starling,Sturnidae,Birds
Lonchura malacca,Black-Headed Munia,Estrildidae,Birds
Treron pompadora,Pompadour Green-Pigeon,Columbidae,Birds
Ducula badia,Mountain Imperial-Pigeon,Columbidae,Birds
Emberiza fucata,Chestnut-Eared Bunting,Emberizidae,Birds
Accipiter gentilis,Goshawk,Accipitridae,Birds
Brachypteryx montana,Blue Shortwing,Turdidae,Birds
Limosa limosa,Black-Tailed Godwit,Scolopacidae,Birds
Enicurus immaculatus,Black-Backed Forktail,Muscicapidae,Birds
Vanellus leucurus,White-Tailed Lapwing,Charadriidae,Birds
Enicurus scouleri,Little Forktail,Muscicapidae,Birds
